33,CLCANVHPTD01,ESX primario,10.225.204.121
34,CLCANVHPTD02,ESX secundario,10.225.204.122
35,CLCANASPTDCS01,Conectivity 1,10.117.132.21
36,CLCANASPTDCS01,Conectivity 1,10.118.132.21
37,CLCANASPTDCS01,Conectivity 1,192.168.2.21
38,_1000_PCS_001,Estacion_Bomba,10.117.132.151
39,_4000_PCS_001,Tuberia_impulsion,10.117.132.152
40,_950_PCS_001,Impulsion_Caldera,10.117.132.153
41,_952_PCS_001,Osmosis_Caldera,10.117.132.154
42,_952_PCS_002,Pretratamiento,10.117.132.155
43,_953_PCS_001,Captacion,10.117.132.156
44,_920_CO_001,A920_Stock_Pile,10.117.132.161
45,_930_CO_001,A930_Muelle,10.117.132.162
46,_1000_PCS_001,Estacion_Bomba,10.118.132.151
47,_4000_PCS_001,Tuberia_impulsion,10.118.132.152
48,_950_PCS_001,Impulsion_Caldera,10.118.132.153
49,_952_PCS_001,Osmosis_Caldera,10.118.132.154
50,_952_PCS_002,Pretratamiento,10.118.132.155
51,_953_PCS_001,Captacion,10.118.132.156
52,_920_CO_001,A920_Stock_Pile,10.118.132.161
53,_930_CO_001,A930_Muelle,10.118.132.162
54,_1000_PCS_001,Estacion_Bomba,172.16.82.151
55,_4000_PCS_001,Tuberia_impulsion,172.16.82.152
56,_950_PCS_001,Impulsion_Caldera,172.16.82.153
57,_952_PCS_001,Osmosis_Caldera,172.16.82.154
58,_952_PCS_002,Pretratamiento,172.16.82.155
59,_953_PCS_001,Captacion,172.16.82.156
60,_920_CO_001,A920_Stock_Pile,172.16.82.161
61,_930_CO_001,A930_Muelle,172.16.82.162
62,_1000_PCS_001,Estacion_Bomba,172.17.82.151
63,_4000_PCS_001,Tuberia_impulsion,172.17.82.152
64,_950_PCS_001,Impulsion_Caldera,172.17.82.153
65,_952_PCS_001,Osmosis_Caldera,172.17.82.154
66,_952_PCS_002,Pretratamiento,172.17.82.155
67,_953_PCS_001,Captacion,172.17.82.156
68,_920_CO_001,A920_Stock_Pile,172.17.82.161
69,_930_CO_001,A930_Muelle,172.17.82.162
70,HSE_Carga,Linking device,192.168.2.51
71,HSE_Carga,Linking device,192.168.2.52
72,HSE_Bbas,Linking device,192.168.2.53
73,HSE_Bbas,Linking device,192.168.2.54
74,LD_Impuls_01,Linking device,192.168.2.55
75,LD_Impuls_01,Linking device,192.168.2.56
76,LD_Osmosis_01,Linking device,192.168.2.57
77,LD_Osmosis_01,Linking device,192.168.2.58
78,LD_Osmosis_02,Linking device,192.168.2.59
79,LD_Osmosis_02,Linking device,192.168.2.60
80,LD_Osmosis_03,Linking device,192.168.2.61
81,LD_Osmosis_03,Linking device,192.168.2.62
82,LD_Osmosis_04,Linking device,192.168.2.63
83,LD_Osmosis_04,Linking device,192.168.2.64
84,LD_Pretra_01,Linking device,192.168.2.65
85,LD_Pretra_01,Linking device,192.168.2.66
86,LD_Captac_01,Linking device,192.168.2.67
87,LD_Captac_01,Linking device,192.168.2.68
88,LD_Osmosis_05,Linking device,192.168.2.73
89,LD_Pretra_02,Linking device,192.168.2.75
90,HSE_HOST_Bbas,Host (tarjeta CI860),192.168.2.69
91,HSE_HOST_Carga,Host (tarjeta CI860),192.168.2.71
92,CI860_Impuls,Host (tarjeta CI860),192.168.2.155
93,CI860_Impuls,Host (tarjeta CI860),192.168.2.156
94,CI860_Osmosis,Host (tarjeta CI860),192.168.2.157
95,CI860_Osmosis,Host (tarjeta CI860),192.168.2.158
96,CI860_Pretra,Host (tarjeta CI860),192.168.2.159
97,CI860_Pretra,Host (tarjeta CI860),192.168.2.160
98,CI860_Captac,Host (tarjeta CI860),192.168.2.161
99,CI860_Captac,Host (tarjeta CI860),192.168.2.162
