21515,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18234,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number 96d757a6,10 %
21516,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18120,Disk Free: E:\ Label:Media Disks Nuevo 16 TB  Serial Number aef8e81c,10 %
21517,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18175,RDP (Remote Desktop),14 msec
21518,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18151,RDP (Remote Desktop),14 msec
21519,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18199,RDP (Remote Desktop),12 msec
21520,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17188,RDP (Remote Desktop),15 msec
21521,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18125,RDP (Remote Desktop),14 msec
21522,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18112,RDP (Remote Desktop),14 msec
21523,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18150,RDP (Remote Desktop),14 msec
21524,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18174,RDP (Remote Desktop),14 msec
21525,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18253,RDP (Remote Desktop),15 msec
21526,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18255,RDP (Remote Desktop),14 msec
21527,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18254,RDP (Remote Desktop),15 msec
21528,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18119,Disk Free: C:\ Label:  Serial Number a2f6e70d,30 %
21529,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18252,RDP (Remote Desktop),14 msec
21530,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18208,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number a491daec,44 %
21531,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17186,Memory: Virtual Memory,55 %
21532,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17183,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number 2c2cfb17,55 %
21533,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17187,Memory: Physical Memory,57 %
21534,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18124,Memory: Physical Memory,58 %
21535,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18211,Memory: Virtual Memory,61 %
21536,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18212,Memory: Physical Memory,63 %
21537,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18238,Memory: Physical Memory,64 %
21538,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18233,Disk Free: C:\ Label:  Serial Number a2f6e70d,67 %
21539,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18237,Memory: Virtual Memory,69 %
21540,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18123,Memory: Virtual Memory,68 %
21541,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18149,Memory: Physical Memory,73 %
21542,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18137,Memory: Physical Memory,74 %
21543,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17182,Disk Free: C:\ Label:  Serial Number a2f6e70d,76 %
21544,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18173,Memory: Physical Memory,76 %
