"id";"ubication";"device";"client";"last_mac";"current_mac";"note";"last_change_date";"status";"prtg_status";"prtg_id";"status_num_clients"
"93";"Camion 212";"UMAN";"10.117.126.212";"Not Found";"b827.ebc5.ecf5";"No data";"2024-08-30 21:04:11";"N/A";"Not Found";"0";"N/A"
"94";"Camion 212";"VIMS";"10.117.124.212";"Not Found";"000a.7511.7d8b";"No data";"2024-08-17 13:43:44";"N/A";"Not Found";"0";"N/A"
"97";"Camion 213";"Cisco AP";"10.117.115.213";"Not Found";"9cd5.7dd4.9b42";"No data";"2024-09-02 12:27:35";"ok";"Not Found";"0";"ok"
"98";"Camion 213";"Cisco RO";"10.117.116.213";"Not Found";"6026.aa91.1d60";"No data";"2024-09-02 12:27:35";"N/A";"Not Found";"0";"N/A"
"99";"Camion 213";"Dispatch";"10.117.123.213";"Not Found";"0080.0701.1365";"No data";"2024-09-02 12:27:35";"N/A";"Not Found";"0";"N/A"
"100";"Camion 213";"MEM";"10.117.122.213";"Not Found";"0013.9533.a5bd";"No data";"2024-09-02 12:27:35";"N/A";"Not Found";"0";"N/A"
"101";"Camion 213";"UMAN";"10.117.126.213";"Not Found";"b827.eb0b.6350";"No data";"2024-09-02 12:27:35";"N/A";"Not Found";"0";"N/A"
"102";"Camion 213";"VIMS";"10.117.124.213";"Not Found";"000a.750e.41ef";"No data";"2024-09-02 12:27:35";"N/A";"Not Found";"0";"N/A"
"105";"Camion 214";"Cisco AP";"10.117.115.214";"Not Found";"00da.557c.9e0c";"No data";"2024-08-30 00:42:45";"ok";"Not Found";"0";"ok"
"106";"Camion 214";"Cisco RO";"10.117.116.214";"Not Found";"00da.557c.9dec";"No data";"2024-08-30 00:42:45";"N/A";"Not Found";"0";"N/A"
"107";"Camion 214";"Dispatch";"10.117.123.214";"Not Found";"0080.0701.80aa";"No data";"2024-08-30 00:42:45";"N/A";"Not Found";"0";"N/A"
"108";"Camion 214";"MEM";"10.117.122.214";"Not Found";"0013.952e.629b";"No data";"2024-09-04 01:08:51";"N/A";"Not Found";"0";"N/A"
"109";"Camion 214";"UMAN";"10.117.126.214";"Not Found";"b827.eb80.f108";"No data";"2024-08-30 00:42:46";"N/A";"Not Found";"0";"N/A"
"110";"Camion 214";"VIMS";"10.117.124.214";"000a.750e.4211";"Not Found";"No data";"2024-09-04 23:09:15";"N/A";"Not Found";"0";"N/A"
"113";"Camion 215";"Cisco AP";"10.117.115.215";"Not Found";"9cd5.7dd4.6d92";"No data";"2024-09-04 17:34:10";"ok";"Not Found";"0";"ok"
"114";"Camion 215";"Cisco RO";"10.117.116.215";"Not Found";"5cb1.2ec0.b120";"No data";"2024-09-04 17:53:56";"N/A";"Not Found";"0";"N/A"
"115";"Camion 215";"Dispatch";"10.117.123.215";"Not Found";"0080.0701.133e";"No data";"2024-09-04 17:34:10";"N/A";"Not Found";"0";"N/A"
"116";"Camion 215";"MEM";"10.117.122.215";"Not Found";"0013.952e.7b6b";"No data";"2024-09-04 17:34:10";"N/A";"Not Found";"0";"N/A"
"117";"Camion 215";"UMAN";"10.117.126.215";"Not Found";"b827.ebf0.0b2a";"No data";"2024-09-04 17:34:10";"N/A";"Not Found";"0";"N/A"
"118";"Camion 215";"VIMS";"10.117.124.215";"Not Found";"000a.750e.41fe";"No data";"2024-09-04 17:34:10";"N/A";"Not Found";"0";"N/A"
"121";"Camion 216";"Cisco AP";"10.117.115.216";"Not Found";"9cd5.7dd4.abdc";"No data";"2024-09-01 16:08:42";"ok";"Not Found";"0";"ok"
"122";"Camion 216";"Cisco RO";"10.117.116.216";"Not Found";"5cb1.2ec0.b0e0";"No data";"2024-09-01 10:34:53";"N/A";"Not Found";"0";"N/A"
"123";"Camion 216";"Dispatch";"10.117.123.216";"Not Found";"0080.0701.0c79";"No data";"2024-09-01 10:34:53";"N/A";"Not Found";"0";"N/A"
"124";"Camion 216";"MEM";"10.117.122.216";"Not Found";"0090.fb70.3f89";"No data";"2024-09-01 10:34:53";"N/A";"Not Found";"0";"N/A"
"125";"Camion 216";"UMAN";"10.117.126.216";"Not Found";"b827.eb8d.17b5";"No data";"2024-09-01 10:34:53";"N/A";"Not Found";"0";"N/A"
"126";"Camion 216";"VIMS";"10.117.124.216";"Not Found";"000a.750e.4213";"No data";"2024-09-01 17:27:26";"N/A";"Not Found";"0";"N/A"
"129";"Camion 217";"Cisco AP";"10.117.115.217";"Not Found";"acf5.e6db.6ba8";"No data";"2024-09-04 18:13:38";"ok";"Not Found";"0";"ok"
"130";"Camion 217";"Cisco RO";"10.117.116.217";"Not Found";"acf5.e6db.6b88";"No data";"2024-08-27 19:13:31";"N/A";"Not Found";"0";"N/A"
"131";"Camion 217";"Dispatch";"10.117.123.217";"Not Found";"0080.0701.125a";"No data";"2024-08-09 23:50:50";"N/A";"Not Found";"0";"N/A"
"132";"Camion 217";"MEM";"10.117.122.217";"Not Found";"0013.952f.1684";"No data";"2024-08-13 01:36:42";"N/A";"Not Found";"0";"N/A"
"133";"Camion 217";"UMAN";"10.117.126.217";"Not Found";"b827.eb30.36c3";"No data";"2024-08-09 23:50:50";"N/A";"Not Found";"0";"N/A"
"134";"Camion 217";"VIMS";"10.117.124.217";"Not Found";"000a.7511.7fec";"No data";"2024-08-15 20:47:08";"N/A";"Not Found";"0";"N/A"
"137";"Camion 218";"Cisco AP";"10.117.115.218";"No data";"Not Found";"No data";"2024-05-11 17:00:24";"ok";"Not Found";"0";"ok"
"138";"Camion 218";"Cisco RO";"10.117.116.218";"No data";"Not Found";"No data";"2024-05-11 17:17:52";"N/A";"Not Found";"0";"N/A"
"139";"Camion 218";"Dispatch";"10.117.123.218";"0080.0701.0645";"Not Found";"No data";"2024-06-04 20:44:14";"N/A";"Not Found";"0";"N/A"
"140";"Camion 218";"MEM";"10.117.122.218";"Not Found";"0090.fb70.3f70";"No data";"2024-09-05 16:15:00";"N/A";"Not Found";"0";"N/A"
"141";"Camion 218";"UMAN";"10.117.126.218";"8034.286c.6fdc";"Not Found";"No data";"2024-07-18 13:56:04";"N/A";"Not Found";"0";"N/A"
"142";"Camion 218";"VIMS";"10.117.124.218";"No data";"Not Found";"No data";"2024-05-11 18:10:21";"N/A";"Not Found";"0";"N/A"
"145";"Camion 219";"Cisco AP";"10.117.115.219";"Not Found";"5c71.0d09.de1e";"No data";"2024-09-02 13:46:22";"ok";"Not Found";"0";"ok"
"146";"Camion 219";"Cisco RO";"10.117.116.219";"Not Found";"4ce1.76e7.f120";"No data";"2024-09-01 05:00:39";"N/A";"Not Found";"0";"N/A"
"147";"Camion 219";"Dispatch";"10.117.123.219";"Not Found";"0080.0701.127a";"No data";"2024-09-01 05:00:39";"N/A";"Not Found";"0";"N/A"
"148";"Camion 219";"MEM";"10.117.122.219";"Not Found";"0013.952d.5e4b";"No data";"2024-09-01 05:00:39";"N/A";"Not Found";"0";"N/A"
"149";"Camion 219";"UMAN";"10.117.126.219";"Not Found";"b827.eb24.c574";"No data";"2024-09-02 16:43:34";"N/A";"Not Found";"0";"N/A"
"150";"Camion 219";"VIMS";"10.117.124.219";"Not Found";"000a.750e.46c0";"No data";"2024-09-01 05:00:39";"N/A";"Not Found";"0";"N/A"
"153";"Camion 220";"Cisco AP";"10.117.115.220";"Not Found";"f01d.2d55.8cd8";"No data";"2024-09-03 00:31:03";"ok";"Not Found";"0";"ok"
"154";"Camion 220";"Cisco RO";"10.117.116.220";"Not Found";"cc90.70c1.7140";"No data";"2024-09-02 18:02:17";"N/A";"Not Found";"0";"N/A"
"155";"Camion 220";"Dispatch";"10.117.123.220";"Not Found";"0080.0701.12d2";"No data";"2024-09-02 18:02:17";"N/A";"Not Found";"0";"N/A"
"156";"Camion 220";"MEM";"10.117.122.220";"Not Found";"0013.9533.b6ed";"No data";"2024-09-04 01:08:51";"N/A";"Not Found";"0";"N/A"
"157";"Camion 220";"UMAN";"10.117.126.220";"Not Found";"b827.ebf8.44dd";"No data";"2024-09-03 00:31:03";"N/A";"Not Found";"0";"N/A"
"158";"Camion 220";"VIMS";"10.117.124.220";"Not Found";"000a.750e.47fd";"No data";"2024-09-02 18:21:53";"N/A";"Not Found";"0";"N/A"
"161";"Camion 221";"Cisco AP";"10.117.115.32";"Not Found";"9cd5.7dd4.10de";"No data";"2024-09-01 05:39:54";"ok";"Not Found";"0";"ok"
"162";"Camion 221";"Cisco RO";"10.117.116.32";"Not Found";"4006.d5c8.97a0";"No data";"2024-08-27 23:29:25";"N/A";"Not Found";"0";"N/A"
